j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
1547.0;336.7;1.1;250.8;1.0;1.0;1.0;1.0;48030.573;336.7;305.192;305.94;3004.445;50.85;0.0;139.0;153.246;6.396;373.24;45.453;120.0;66.0;73.739;305.94;1208.39;857.07;938.985;0;0;0;0
1548.0;318.2;1.9;250.8;1.0;1.0;1.0;1.0;44414.631;318.2;290.134;279.013;2922.53;46.596;-0.0;139.0;139.0;6.396;379.636;38.134;120.0;66.0;66.0;279.013;1208.39;857.07;857.07;0;0;0;0
1549.0;314.7;2.8;250.8;1.0;1.0;1.0;1.0;43360.659;314.7;284.919;256.858;2922.53;43.096;-0.0;139.0;139.0;6.396;386.032;32.919;120.0;66.0;66.0;256.858;1208.39;857.07;857.07;0;0;0;0
1550.0;319.9;3.3;250.8;1.0;1.0;1.0;1.0;44991.115;319.9;292.925;289.774;2922.53;48.296;0.0;139.0;139.0;6.396;392.428;40.925;120.0;66.0;66.0;289.774;1208.39;857.07;857.07;0;0;0;0
1551.0;370.7;3.5;248.9;1.0;1.0;1.0;1.0;52395.791;370.7;323.47;305.941;3197.924;50.85;-0.0;139.0;186.895;6.045;398.473;45.453;120.0;66.0;92.017;305.941;1208.39;857.07;1132.464;0;0;0;0
1552.0;412.5;3.6;212.0;1.0;1.0;1.0;1.0;46560.24;412.5;342.468;305.941;3359.509;50.85;0.001;140.88;219.988;-0.782;397.691;45.453;120.0;67.021;109.993;305.941;1168.881;867.878;1322.75;0;0;0;0
1553.0;466.1;3.6;200.6;1.0;1.0;1.0;1.0;48254.882;466.1;370.439;305.941;3695.097;50.85;0.0;192.359;220.0;-2.891;394.8;45.453;120.0;94.985;110.0;305.941;1208.39;1163.887;1322.82;0;0;0;0
1554.0;487.2;3.2;248.9;1.0;1.0;1.0;1.0;70018.119;487.2;385.252;305.941;3818.121;50.85;2.395;220.0;220.0;6.045;400.845;45.453;119.798;110.0;110.0;305.941;1172.481;1322.82;1322.82;0;0;0;0
1555.0;411.5;2.8;250.8;1.0;1.0;1.0;1.0;58999.023;411.5;345.824;305.94;3434.545;50.85;0.0;147.046;220.0;6.396;407.241;45.453;120.0;70.371;110.0;305.94;1208.39;903.335;1322.82;0;0;0;0
1556.0;406.3;2.4;251.4;1.0;1.0;1.0;1.0;58444.193;406.3;343.06;305.94;3405.283;50.85;0.0;141.957;220.0;6.507;413.748;45.453;120.0;67.606;110.0;305.94;1208.39;874.073;1322.82;0;0;0;0
1557.0;417.4;1.9;250.8;1.0;1.0;1.0;1.0;59864.181;417.4;349.029;305.94;3468.47;50.85;0.0;152.946;220.0;6.396;420.144;45.453;120.0;73.576;110.0;305.94;1208.39;937.26;1322.82;0;0;0;0
1558.0;418.8;1.3;186.9;1.0;1.0;1.0;1.0;38753.361;418.8;343.367;305.94;3369.035;50.85;0.001;142.524;220.0;-5.425;414.72;45.453;120.0;67.914;110.0;305.94;1168.881;877.334;1322.819;0;0;0;0
1559.0;407.2;0.7;186.7;1.0;1.0;1.0;1.0;36566.501;407.2;337.047;305.94;3341.637;50.85;0.0;139.0;211.888;-5.462;409.258;45.453;120.0;66.0;105.594;305.94;1208.39;857.07;1276.177;0;0;0;0
1560.0;467.8;0.2;179.0;1.0;1.0;1.0;1.0;41770.124;467.8;305.064;305.941;3070.205;50.85;90.439;139.0;180.625;-6.886;402.371;45.453;105.0;66.0;88.611;305.941;1116.724;857.07;1096.412;0;0;0;0
1561.0;460.1;0.8;181.6;1.0;1.0;1.0;1.0;41558.427;460.1;309.934;305.94;3112.91;50.85;80.149;139.0;189.59;-0.511;401.86;45.453;105.0;66.0;93.481;305.94;1107.878;857.07;1147.962;0;0;0;0
1562.0;469.3;1.0;171.9;1.0;1.0;1.0;1.0;39475.829;469.3;319.406;305.941;3204.275;50.85;69.804;139.0;207.026;-2.62;399.24;45.453;105.0;66.0;102.952;305.941;1098.985;857.07;1248.22;0;0;0;0
1563.0;462.7;0.4;171.4;1.0;1.0;1.0;1.0;39016.323;462.7;291.768;305.94;2949.696;50.85;113.973;139.0;156.148;-2.729;396.511;45.453;105.0;66.0;75.315;305.94;1136.954;857.07;955.672;0;0;0;0
1564.0;469.4;0.1;171.3;1.0;1.0;1.0;1.0;39405.665;469.4;312.642;305.94;3143.353;50.85;82.225;139.0;194.574;-2.751;393.76;45.453;105.0;66.0;96.188;305.94;1109.663;857.07;1176.62;0;0;0;0
1565.0;468.4;-0.6;171.3;1.0;1.0;1.0;1.0;39730.34;468.4;285.268;305.94;2896.058;50.85;131.617;139.03;144.152;-2.751;391.009;45.453;105.0;66.016;68.799;305.94;1152.121;857.24;886.696;0;0;0;0
