j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
5338.0;56.5;18.3;249.7;1.0;1.0;1.0;1.0;13398.361;56.5;159.344;286.577;1180.98;47.791;8.709;-0.0;0.0;0;695.3;40.077;119.267;0.0;0.0;286.577;1180.98;0.0;0.0;0;0;0;0
5339.0;59.9;19.5;243.7;1.0;1.0;1.0;1.0;11105.392;59.9;116.64;0.0;1207.061;0.0;39.9;0.0;0.0;-20;675.3;-0.0;116.64;0.0;-0.0;0.0;1207.061;0.0;0.0;0;0;0;0
5340.0;61.0;20.8;256.7;1.0;1.0;1.0;1.0;7152.47;61.0;114.864;0.0;1214.571;0.0;61.0;0.0;0.0;0;675.3;0.0;114.864;-0.0;-0.0;0.0;1214.571;0.0;0.0;5000;0;0;0
5341.0;56.3;21.2;273.5;1.0;1.0;1.0;1.0;16977.604;56.3;158.21;282.355;1181.555;47.124;9.176;0.0;0.0;0;675.3;38.982;119.227;0.0;-0.0;282.355;1181.555;0.0;0.0;0;0;0;0
5342.0;52.4;21.1;261.1;1.0;1.0;1.0;1.0;14705.29;52.4;158.577;282.501;1176.5;47.147;5.253;0.0;0.0;0;675.3;39.019;119.558;0.0;-0.0;282.501;1176.5;0.0;0.0;0;0;0;0
5343.0;44.0;21.7;273.5;1.0;1.0;1.0;1.0;15178.48;44.0;154.2;262.58;1168.88;44.0;-0.0;0.0;0.0;0;675.3;34.2;120.0;0.0;0.0;262.58;1168.88;0.0;0.0;0;0;0;0
5344.0;45.8;21.4;271.5;1.0;1.0;1.0;1.0;5468.867;45.8;156.887;273.974;1168.88;45.8;0.0;0.0;0.0;0;675.3;36.887;120.0;0.0;0.0;273.974;1168.88;0.0;0.0;0;0;10000;0
5345.0;44.9;20.7;254.8;1.0;1.0;1.0;1.0;2566.051;44.9;155.52;268.277;1168.88;44.9;0.0;0.0;-0.0;0;675.3;35.52;120.0;0.0;-0.0;268.277;1168.88;0.0;0.0;0;0;10000;0
5346.0;41.4;21.4;237.1;1.0;1.0;1.0;1.0;-1435.783;41.4;118.198;0.0;1194.354;-0.0;21.4;0.0;-0.0;-20;655.3;-0.0;118.198;-0.0;0.0;0.0;1194.354;0.0;0.0;0;0;10000;0
5347.0;36.6;20.1;221.6;1.0;1.0;1.0;1.0;-3707.933;36.6;118.602;0.0;1189.817;-0.0;16.6;0.0;-0.0;-20;635.3;-0.0;118.602;-0.0;-0.0;0.0;1189.817;0.0;0.0;0;0;10000;0
5348.0;33.9;18.1;234.0;1.0;1.0;1.0;1.0;-2476.414;33.9;118.83;0.0;1186.997;-0.0;13.9;0.0;0.0;-20;615.3;-0.0;118.83;-0.0;0.0;0.0;1186.997;0.0;0.0;0;0;10000;0
5349.0;34.6;16.6;224.6;1.0;1.0;1.0;1.0;-3531.262;34.6;118.771;0.0;1187.748;-0.0;14.6;0.0;0.0;-20;595.3;0.0;118.771;0.0;0.0;0.0;1187.748;0.0;0.0;0;0;10000;0
5350.0;35.8;15.5;273.9;1.0;1.0;1.0;1.0;13949.951;35.8;195.126;0.0;2122.55;-0.0;0.0;155.8;-0.0;120;715.3;0.0;120.0;75.126;-0.0;0.0;1168.88;953.67;0.0;0;0;0;0
5351.0;35.7;14.6;291.2;1.0;1.0;1.0;1.0;8650.657;35.7;116.994;0.0;1204.76;-0.0;35.7;0.0;0.0;0;715.3;-0.0;116.994;-0.0;-0.0;0.0;1204.76;0.0;0.0;5000;0;0;0
5352.0;45.2;14.7;244.8;1.0;1.0;1.0;1.0;11099.301;45.2;155.971;270.176;1168.88;45.2;-0.0;-0.0;0.0;0;715.3;35.971;120.0;0.0;-0.0;270.176;1168.88;0.0;0.0;0;0;0;0
5353.0;40.6;14.8;195.3;1.0;1.0;1.0;1.0;3547.578;40.6;118.265;0.0;1193.638;-0.0;20.6;0.0;-0.0;-20;695.3;0.0;118.265;-0.0;-0.0;0.0;1193.638;0.0;0.0;0;0;0;0
5354.0;40.4;14.7;209.0;1.0;1.0;1.0;1.0;5149.108;40.4;118.282;0.0;1193.457;0.0;20.4;0.0;0.0;-20;675.3;-0.0;118.282;-0.0;-0.0;0.0;1193.457;0.0;0.0;0;0;0;0
5355.0;36.1;13.3;175.5;1.0;1.0;1.0;1.0;-9222.563;36.1;118.644;0.0;1189.31;-0.0;16.1;0.0;-0.0;-20;655.3;0.0;118.644;-0.0;-0.0;0.0;1189.31;0.0;0.0;0;0;0;10000
5356.0;23.6;12.2;216.0;1.0;1.0;1.0;1.0;-5501.08;23.6;119.697;0.0;1174.212;-0.0;3.6;0.0;0.0;-20;635.3;-0.0;119.697;0.0;-0.0;0.0;1174.212;0.0;0.0;0;0;0;10000
5357.0;35.7;12.0;193.8;1.0;1.0;1.0;1.0;-7088.304;35.7;118.678;0.0;1188.9;-0.0;15.7;0.0;0.0;-20;615.3;-0.0;118.678;0.0;-0.0;0.0;1188.9;0.0;0.0;0;0;0;10000
5358.0;35.0;11.9;215.5;1.0;1.0;1.0;1.0;-4576.125;35.0;118.737;0.0;1188.171;0.0;15.0;0.0;-0.0;-20;595.3;0.0;118.737;-0.0;-0.0;0.0;1188.171;0.0;0.0;0;0;0;10000
5359.0;33.2;11.8;212.1;1.0;1.0;1.0;1.0;-5141.38;33.2;118.889;0.0;1186.233;-0.0;13.2;0.0;0.0;-20;575.3;0.0;118.889;-0.0;0.0;0.0;1186.233;0.0;0.0;0;0;0;10000
5360.0;33.0;11.9;208.5;1.0;1.0;1.0;1.0;-5587.27;33.0;118.905;0.0;1186.012;-0.0;13.0;-0.0;0.0;-20;555.3;0.0;118.905;-0.0;-0.0;0.0;1186.012;0.0;0.0;0;0;0;10000
5361.0;36.4;12.3;244.0;1.0;1.0;1.0;1.0;8201.452;36.4;195.452;0.0;2126.0;0.0;-0.0;0.0;156.4;120;675.3;0.0;120.0;-0.0;75.452;0.0;1168.88;0.0;957.12;0;0;0;0
5362.0;44.1;12.6;233.4;1.0;1.0;1.0;1.0;8376.926;44.1;117.971;0.0;1196.656;-0.0;24.1;0.0;-0.0;-20;655.3;-0.0;117.971;-0.0;-0.0;0.0;1196.656;0.0;0.0;0;0;0;0
5363.0;46.4;12.7;232.9;1.0;1.0;1.0;1.0;8533.78;46.4;117.777;0.0;1198.486;-0.0;26.4;0.0;0.0;-20;635.3;0.0;117.777;-0.0;-0.0;0.0;1198.486;0.0;0.0;0;0;0;0
